likes,body,time
121,"Прошедшей ночью разработчики Mortal Kombat 11 провели стрим и показали в действии Джокера, который появится в файтинге 28 января.

Он, например, может расстрелять противника из куклы Бэтмена со спрятанным пистолетом, или избить большими перчатками на пружинах.

https://dtf.ru/games/96286",1579849425
99,"THR и Collider сообщают, что работа над сериалом про Оби-Вана пока приостановлена. 

Disney и Lucasfilm ищут нового сценариста, так как изначальный их не устроил, и количество эпизодов вместе с этим планируют сократить с шести до четырёх.",1579847960
89,"Respawn раскрыла детали четвёртого сезона Apex Legends, который стартует в годовщину игры — 4 февраля.

В «королевскую битву» добавят новую снайперскую винтовку и ещё одного бойца, Кузню, а все игроки получат подарки.",1579809381
143,"Польские СМИ сообщают, что в местном издательстве CDP прошла крупная волна увольнений — она может привести к закрытию компании (она не связана с CD Projekt RED). 

Причиной якобы стал внезапный перенос Cyberpunk 2077 — CDP уже была готова к крупной маркетинговой кампании, но теперь многие материалы со старой датой стали непригодны.",1579805622
138,"В Steam стартовала распродажа «Лунный Новый год» — скидки среди прочего получили A Plague Tale: Innocence, DMC 5 и Star Wars Jedi: Fallen Order. 
 
Акция продлится четыре дня и завершится 27 января в 21:00 МСК.",1579804488
90,"По данным SuperData, декабрь 2019-го стал лучшим месяцем для GTA V за последние два года — игра принесла почти 85 миллионов долларов. 

Тем временем продажи RDR 2 на ПК с релизом в Steam выросли до миллиона копий.",1579802198
267,"После назначения Генри Кавилла на роль Геральта многие не верили, что он в самом деле любит «Ведьмака» — однако в итоге оказалось, что он тот ещё геймер.

Выяснили, какие игры предпочитает актёр. Однажды из-за рейда в WoW он чуть не пропустил звонок от Зака Снайдера с предложением роли Супермена.

#есливыпропустили",1579800470
125,"Каким мог бы выглядеть финал «Звёздных войн», в котором Кайло Рен сражается с призраком Дарта Вейдера, а Рей вооружена двойным мечом?

Собрали на сайте концепт-арты для отменённого сценария девятого эпизода.",1579799555
86,"Сегодня на стриминговом сервисе CBS All Access вышел первый эпизод сериала «Звёздный путь: Пикар» — прямого продолжения «Нового поколения», в котором Патрик Стюарт вернулся к культовой роли капитана Жана-Люка Пикара. 

Выбрали главное из первых рецензий критиков: сериал ругают за медлительный темп, но очень хвалят за игру Стюарта и темы, которые «Пикар» поднимает.",1579797766
92,"Авторы необычной головоломки Manifold Garden, напоминающей работы Эшера, поделились подробностями создания игры.

Разработчики пытались заставить игрока действовать, не опираясь на логику реального мира, но не давая пользователю каких-либо подсказок.

#есливыпропустили",1579797300
